"","season","team_id","team_name"
"718",2010,172,"Cornell"
"719",2010,264,"Washington"
"720",2010,142,"Missouri"
"721",2010,59,"Georgia Tech"
"722",2010,154,"Wake Forest"
"723",2010,295,"Old Dominion"
"724",2010,195,"Ohio"
"725",2010,93,"Murray St"
"726",2010,248,"Houston"
"727",2010,2540,"UCSB"
"728",2010,97,"Louisville"
"729",2010,261,"Vermont"
"730",2010,166,"New Mexico St"
"731",2010,52,"Florida St"
"732",2010,328,"Utah State"
"733",2010,2747,"Wofford"
"734",2010,2473,"Oakland"
"735",2010,2561,"Siena"
"736",2010,135,"Minnesota"
"737",2010,2415,"Morgan St"
"738",2010,149,"Montana"
"739",2010,2329,"Lehigh"
"740",2010,21,"San Diego St"
"741",2010,2193,"ETSU"
"742",2010,2638,"UTEP"
"743",2010,249,"North Texas"
"744",2010,2534,"Sam Houston"
"745",2010,2523,"Robert Morris"
"746",2010,57,"Florida"
"747",2010,2737,"Winthrop"
"748",2011,2670,"VCU"
"749",2011,269,"Marquette"
"750",2011,356,"Illinois"
"751",2011,2250,"Gonzaga"
"752",2011,2413,"Morehead St"
"753",2011,282,"Indiana St"
"754",2011,61,"Georgia"
"755",2011,2612,"Saint Peter's"
"756",2011,112358,"Long Island"
"757",2011,104,"Boston Univ"
"758",2011,2636,"UTSA"
"759",2011,2261,"Hampton"
"760",2011,235,"Memphis"
"761",2011,222,"Villanova"
"762",2011,2006,"Akron"
"763",2011,2633,"Tennessee"
"764",2011,2473,"Oakland"
"765",2011,328,"Utah State"
"766",2011,142,"Missouri"
"767",2011,127,"Michigan St"
"768",2011,2057,"Belmont"
"769",2011,2083,"Bucknell"
"770",2011,2747,"Wofford"
"771",2011,2540,"UCSB"
"772",2011,2458,"N Colorado"
"773",2011,2427,"UNC Asheville"
"774",2011,163,"Princeton"
"775",2011,213,"Penn State"
"776",2011,295,"Old Dominion"
"777",2011,228,"Clemson"
"778",2012,152,"NC State"
"779",2012,195,"Ohio"
"780",2012,2509,"Purdue"
"781",2012,2329,"Lehigh"
"782",2012,2450,"Norfolk St"
"783",2012,139,"Saint Louis"
"784",2012,38,"Colorado"
"785",2012,2670,"VCU"
"786",2012,2174,"Detroit Mercy"
"787",2012,112358,"Long Island"
"788",2012,261,"Vermont"
"789",2012,2057,"Belmont"
"790",2012,179,"St Bonaventure"
"791",2012,258,"Virginia"
"792",2012,333,"Alabama"
"793",2012,251,"Texas"
"794",2012,2352,"Loyola MD"
"795",2012,166,"New Mexico St"
"796",2012,41,"UConn"
"797",2012,2571,"S Dakota St"
"798",2012,277,"West Virginia"
"799",2012,98,"Western KY"
"800",2012,108,"Harvard"
"801",2012,299,"Long Beach St"
"802",2012,2427,"UNC Asheville"
"803",2012,149,"Montana"
"804",2012,2166,"Davidson"
"805",2012,2572,"Southern Miss"
"806",2012,36,"Colorado St"
"807",2012,314,"Iona"
"808",2013,526,"FGCU"
"809",2013,2483,"Oregon"
"810",2013,2325,"La Salle"
"811",2013,135,"Minnesota"
"812",2013,218,"Temple"
"813",2013,66,"Iowa State"
"814",2013,25,"California"
"815",2013,108,"Harvard"
"816",2013,98,"Western KY"
"817",2013,201,"Oklahoma"
"818",2013,2466,"N'Western St"
"819",2013,222,"Villanova"
"820",2013,314,"Iona"
"821",2013,38,"Colorado"
"822",2013,2132,"Cincinnati"
"823",2013,279,"Pacific"
"824",2013,399,"Albany"
"825",2013,149,"Montana"
"826",2013,2006,"Akron"
"827",2013,142,"Missouri"
"828",2013,2057,"Belmont"
"829",2013,2571,"S Dakota St"
"830",2013,2448,"NC A&T"
"831",2013,2582,"Southern"
"832",2013,2166,"Davidson"
"833",2013,2608,"Saint Mary's"
"834",2013,166,"New Mexico St"
"835",2013,2083,"Bucknell"
"836",2013,2674,"Valparaiso"
"837",2013,112358,"Long Island"
"838",2014,2168,"Dayton"
"839",2014,2617,"SF Austin"
"840",2014,2382,"Mercer"
"841",2014,108,"Harvard"
"842",2014,2449,"N Dakota St"
"843",2014,221,"Pitt"
"844",2014,202,"Tulsa"
"845",2014,2428,"NC Central"
"846",2014,2306,"Kansas St"
"847",2014,324,"Coast Car"
"848",2014,13,"Cal Poly"
"849",2014,2507,"Providence"
"850",2014,45,"G Washington"
"851",2014,197,"Oklahoma St"
"852",2014,2198,"E Kentucky"
"853",2014,309,"Louisiana"
"854",2014,2692,"Weber St"
"855",2014,158,"Nebraska"
"856",2014,166,"New Mexico St"
"857",2014,2363,"Manhattan"
"858",2014,270,"Milwaukee"
"859",2014,9,"Arizona St"
"860",2014,152,"NC State"
"861",2014,2747,"Wofford"
"862",2014,2603,"Saint Joseph's"
"863",2014,48,"Delaware"
"864",2014,399,"Albany"
"865",2014,252,"BYU"
"866",2014,2711,"W Michigan"
"867",2014,44,"American"
"868",2014,2294,"Iowa"
"869",2015,2168,"Dayton"
"870",2015,2247,"Georgia St"
"871",2015,194,"Ohio State"
"872",2015,5,"UAB"
"873",2015,2449,"N Dakota St"
"874",2015,2599,"St John's"
"875",2015,324,"Coast Car"
"876",2015,399,"Albany"
"877",2015,2166,"Davidson"
"878",2015,2523,"Robert Morris"
"879",2015,197,"Oklahoma St"
"880",2015,2674,"Valparaiso"
"881",2015,300,"UC Irvine"
